index,food_price_index,meat,dairy,cereals,oil,sugar
1,64.44420125,74.27221862,53.50303065,64.14060719,44.58767168,87.8778326
2,64.7282992,76.78102727,52.2186339,62.22237673,44.50051354,90.66269349
3,64.03302114,78.54398284,41.36712317,61.25988407,45.74543384,95.05658512
4,66.01599738,81.19003533,48.42706837,62.82073095,44.01709379,94.31395555
5,64.63284435,81.75667867,39.189651,61.98282572,45.49963146,90.3532645
6,64.07706013,84.18540664,39.189651,60.71234234,43.79640986,80.26587949
7,62.91998947,84.51372416,39.189651,57.85828506,43.72101633,74.20107133
8,61.76937869,84.51223682,36.82668581,55.68299764,45.36713887,67.64117678
9,61.32298078,85.50240588,38.14079185,52.4791253,44.78833018,68.50757795
10,61.35648851,86.1795587,38.90982359,52.79953895,45.71784604,60.77185325
11,62.34599499,87.62688046,39.43676874,52.42968756,48.30080705,62.31899819
12,62.16502042,84.38277787,45.05501562,52.56861543,49.59540504,60.27676687
13,61.03086566,80.50427203,46.92070963,53.70549149,49.473592,54.45950189
14,61.75343912,82.35475962,46.65752883,55.24952254,48.41695619,52.66481376
15,62.30413929,81.64883487,45.76018118,57.25986681,48.74733565,56.56361901
16,61.03838621,80.49598818,42.79199952,57.61279362,47.00218824,52.66481376
17,60.83854252,81.98952786,42.14046245,57.17933841,46.56183509,46.90943459
18,61.33524179,81.29246337,43.39480576,56.53805755,46.73263793,56.9349338
19,62.17175052,83.5708047,40.36313737,55.73938698,48.21636538,63.80425733
20,61.76616361,80.42898602,41.69068555,58.26121975,48.80878817,58.54396454
21,62.39877257,80.62133566,45.39967221,58.81539713,48.58233103,57.49190598
22,64.53902336,83.03536476,48.80605063,60.5700275,51.13311801,56.43984742
23,64.62053892,82.5583147,50.79933694,60.75463826,51.78614187,53.59310073
24,64.34654911,79.19535422,50.79933694,62.68009859,52.63416036,55.69721785
25,65.07311072,80.1957399,52.86071556,63.94967449,52.84386559,51.48898361
26,65.90406088,81.59152396,52.86071556,66.45296186,51.96145175,48.51846532
27,66.45955421,82.39765566,52.41364098,65.86605978,54.07727277,50.87012563
28,64.76307111,78.25015133,52.41364098,62.97281838,53.94658401,58.54396454
29,65.07202794,78.91287074,54.56926002,61.9935456,54.0156591,59.3484799
30,65.92741462,78.92282827,57.65269491,61.81210499,54.82149741,64.11368632
31,64.74611726,79.53885904,58.10136873,58.54022948,51.92805744,63.80425733
32,63.14703052,78.5682397,56.63575119,56.09091106,51.01625409,60.83373905
33,63.80735111,78.08124286,58.13831532,58.31174648,52.20311193,57.61567757
34,61.82288555,74.3586759,54.94114505,58.19147451,52.21723239,53.90252971
35,62.65102025,76.15656997,53.80406897,58.7917094,53.87625274,53.03612855
36,61.33306006,73.67310615,53.22780286,58.51858183,52.99671744,50.43692505
37,61.59803721,73.36436074,53.29906433,59.0544671,53.97808946,50.99389723
38,61.43394228,72.88117831,54.01953403,58.05466939,54.24469834,52.97424275
39,63.16261291,76.50280249,53.321425,57.76518177,53.05125656,65.72271706
40,62.82770249,75.66909437,52.40636837,57.33381381,52.8340209,69.00266433
41,62.40714443,75.96536638,51.73855937,55.37130465,51.89557922,73.21089857
42,61.80577552,78.5536237,51.7817108,52.84355489,51.24333544,64.29934371
43,62.24429927,78.08865183,49.73447147,55.79196437,53.28307733,59.90545208
44,60.85204515,74.78561006,47.95448586,56.55412295,52.60518861,57.80133496
45,61.19106929,75.14845001,45.0670911,58.44481776,52.54254894,59.03905092
46,61.52822268,74.50545852,41.00719774,61.43366236,52.11793275,63.68048574
47,63.40427193,73.63251841,41.23153465,66.71699208,56.21786455,62.62842718
48,64.65773502,71.07128069,41.83675114,68.85850528,63.5841755,65.10385908
49,64.76507293,70.21413466,45.50661979,68.59867492,63.87968095,63.74237153
50,64.50547284,72.07957258,45.44899317,66.79741273,60.39747837,66.96043301
51,64.82642263,73.43365575,46.01078411,64.14992529,61.31369662,72.65392639
52,64.06123791,73.98038895,42.3267497,62.41540188,63.65730388,68.13626316
53,65.87418691,76.97673408,42.3267497,61.9898512,67.78279328,71.66375363
54,65.51214721,75.39416288,45.12767714,60.09132197,68.47110669,74.57238612
55,64.23140342,75.92997476,45.56858924,56.01105555,67.15342416,72.83958378
56,66.56151662,77.68318613,46.58576747,57.49680765,73.32776599,74.8818151
57,69.60272309,78.82795497,49.93611146,60.19383721,80.49955716,77.91421919
58,70.26375944,79.2118483,52.0149417,61.6534399,78.99701313,78.90439195
59,73.60393947,82.97519711,53.16747393,61.13636471,88.30944074,86.26880186
60,73.31867905,78.8584138,55.02196726,62.70779082,88.62378411,90.78646509
61,73.02757384,79.06573109,58.92508255,62.87138949,82.6566412,91.34343727
62,74.74335,84.04148041,61.14814825,62.51428596,82.66991005,89.17743435
63,75.47205037,85.1480441,61.79228126,62.16595537,84.41751062,90.29137871
64,74.29236013,85.87457897,61.13616554,62.65185504,77.93804109,84.78354272
65,74.09616916,84.09785699,61.23968675,64.90775656,76.78877539,83.66959836
66,75.32497358,81.68300693,61.23968675,69.1448433,80.32960833,86.76388824
67,79.64794861,87.7827524,64.56384769,74.0135177,83.96209046,84.10279895
68,78.13917559,87.35025371,64.33761997,72.64226758,79.94609576,80.32776529
69,78.46230904,89.04048796,64.27996141,75.9088673,76.28323143,72.3444974
70,80.50674263,89.22797547,64.80648343,80.17270722,79.94507917,73.27278437
